id,name,symbol,rank,price_usd,price_btc,24h_volume_usd,market_cap_usd,available_supply,total_supply,max_supply,percent_change_1h,percent_change_24h,percent_change_7d,last_updated,price_cad,24h_volume_cad,market_cap_cad
zcoin,ZCoin,XZC,87,75.5392,0.00662725,5212950.0,300283406.0,3975200.0,3975200.0,,0.53,2.62,-13.4,1517107451,93.045787296,6421077.22725,369875587.0
bancor,Bancor,BNT,88,7.35704,0.00064545,21682700.0,299967640.0,40772871.0,79384422.0,,-0.02,4.68,-4.35,1517107456,9.0620708052,26707774.1385,369486641.0
medibloc,MediBloc,MED,89,0.0988453,0.00000867,3040620.0,293213126.0,2966384100.0,4097545844.0,10000000000.0,-0.87,-0.63,-15.78,1517107464,0.1217531925,3745298.8881,361166734.0
kin,Kin,KIN,90,0.000383473,0.00000003,1192240.0,289943000.0,756097560976,10000000000000,,4.24,4.47,-31.98,1517107459,0.0004723448,1468547.5812,357138740.0
particl,Particl,PART,91,31.9807,0.00280575,2145110.0,283069003.0,8851245.0,8851245.0,,-1.14,-0.5,0.15,1517107456,39.3923871285,2642249.96805,348671660.0
neblio,Neblio,NEBL,92,22.0042,0.00193049,5948870.0,280812637.0,12761774.0,13506457.0,,-0.13,12.25,-25.87,1517107459,27.103783371,7327550.36685,345892369.0
bitcore,Bitcore,BTX,93,25.4871,0.00223605,268603.0,277824912.0,10900609.0,16772572.0,21000000.0,-2.11,0.83,-10.88,1517107454,31.3938628605,330853.088265,342212225.0
tenx,TenX,PAY,94,2.58322,0.00022663,14361700.0,270363189.0,104661310.0,205218256.0,,-1.06,9.38,-7.09,1517107456,3.1818941511,17690095.7835,333021210.0
chainlink,ChainLink,LINK,95,0.767358,0.00006732,15138300.0,268575300.0,350000000.0,1000000000.0,,-1.53,7.49,-28.65,1517107459,0.9451970533,18646676.7165,330818969.0
experience-points,Experience Points,XP,96,0.00125304,0.00000011,1379460.0,265999851.0,212283607255,247315375121,,-0.38,1.9,-26.04,1517107450,0.0015434383,1699156.7523,327646647.0
quantstamp,Quantstamp,QSP,97,0.428564,0.00003760,11674400.0,264558630.0,617314171.0,976442388.0,,-0.91,3.13,-14.39,1517107463,0.5278858498,14380000.572,325871416.0
sirin-labs-token,SIRIN LABS Token,SRN,98,2.62979,0.00023072,15260000.0,260190000.0,98939459.0,573145073.0,,4.05,-11.77,34.6,1517107465,3.2392569814,18796581.3,320490334.0
gnosis-gno,Gnosis,GNO,99,234.348,0.0205599,1637380.0,258858457.0,1104590.0,10000000.0,,0.62,7.44,-11.58,1517107454,288.65932074,2016851.0019,318850199.0
gamecredits,GameCredits,GAME,100,3.97016,0.00034831,3014600.0,255501044.0,64355352.0,64355352.0,84000000.0,-2.52,-5.07,-13.3,1517107444,4.8902644308,3713248.623,314714689.0
